#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2019-07-25T12:52:07 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d39a547de31	
#INFO	-out.max=unlimited	
#INFO	queryParameters=8	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-source=J/AJ/126/1607/table1
#

#RESOURCE=yCat_51261607
#Name: J/AJ/126/1607
#Title: IRAS Revised Bright Galaxy Sample (Sanders+, 2003)
#Table	J_AJ_126_1607_table1:
#Name: J/AJ/126/1607/table1
#Title: IRAS Revised Bright Galaxy Sample: Integrated Flux Densities and Luminosities
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Name	(a17)	Common name (1)	[ucd=]
#Column	n_Name	(A1)	indicates complements in table3	[ucd=]
#Column	f_Name	(A1)	Flag on Name (2)	[ucd=]
#Column	IRAS	(a11)	IRAS name (3)	[ucd=]
#Column	f_IRAS	(A1)	Flag on IRAS (4)	[ucd=]
#Column	RAJ2000	(A10)	Hour of right ascension (J2000) (5)	[ucd=]
#Column	DEJ2000	(A9)	Degree of declination (J2000) (5)	[ucd=]
#Column	GLON	(F6.2)	Galactic longitude	[ucd=]
#Column	GLAT	(F6.2)	Galactic latitude	[ucd=]
#Column	HR	(A1)	HIRES code (6)	[ucd=]
#Column	l_F12um	(A1)	Limit flag on F12um	[ucd=]
#Column	F12um	(F7.2)	Total 12 micron band flux density	[ucd=]
#Column	u_F12um	(A1)	Confusion uncertainty flag on F12um	[ucd=]
#Column	e_F12um	(I2)	? 1 {sigma} error in F12um [NULL integer written as an empty string]	[ucd=]
#Column	S12um	(A1)	IR size flag on 12um (7)	[ucd=]
#Column	M12um	(A1)	Best flux estimate method flag on 12um (8)	[ucd=]
#Column	C12um	(A1)	Confusion type flag on 12um (9)	[ucd=]
#Column	F25um	(F7.2)	Total 25 micron band flux density	[ucd=]
#Column	u_F25um	(A1)	Confusion uncertainty flag on 25um	[ucd=]
#Column	e_F25um	(I3)	? 1 {sigma} error in F25um [NULL integer written as an empty string]	[ucd=]
#Column	S25um	(A1)	IR size flag on 25um (7)	[ucd=]
#Column	M25um	(A1)	Best flux estimate method flag on 25um (8)	[ucd=]
#Column	C25um	(A1)	Confusion type flag on 25um (9)	[ucd=]
#Column	F60um	(F8.2)	Total 60 micron band flux density	[ucd=]
#Column	u_F60um	(A1)	Confusion uncertainty flag on 60um	[ucd=]
#Column	e_F60um	(I3)	? 1 {sigma} error in F60um [NULL integer written as an empty string]	[ucd=]
#Column	S60um	(A1)	IR size flag on 60um (7)	[ucd=]
#Column	M60um	(A1)	Best flux estimate method flag on 60um (8)	[ucd=]
#Column	C60um	(A1)	Confusion type flag on 60um (9)	[ucd=]
#Column	F100um	(F8.2)	? Total 100 micron band flux density	[ucd=]
#Column	u_F100um	(A1)	Confusion uncertainty flag on 100um	[ucd=]
#Column	e_F100um	(I4)	? 1 {sigma} error in F100um [NULL integer written as an empty string]	[ucd=]
#Column	S100um	(A1)	IR size flag on 100um (7)	[ucd=]
#Column	M100um	(A1)	Best flux estimate method flag on 100um (8)	[ucd=]
#Column	C100um	(A1)	Confusion type flag on 100um (9)	[ucd=]
#Column	cz	(I5)	Heliocentric radial velocity (10)	[ucd=]
#Column	Dist	(F6.2)	Estimated source distance (11)	[ucd=]
#Column	f_Dist	(A1)	Flag on Dist (12)	[ucd=]
#Column	LogIR1	(F5.2)	Log of the 40-400 micron luminosity (13)	[ucd=]
#Column	u_LogIR1	(A1)	Uncertainty flag on LogIR1	[ucd=]
#Column	LogIR2	(F5.2)	Log of the 8-1000 micron luminosity (14)	[ucd=]
#Column	u_LogIR2	(A1)	Uncertainty flag on LogIR2	[ucd=]
#Column	Rank	(I3)	Sequential rank in the luminosity distribution	[ucd=]
#Column	OName	(a35)	Other names (15)	[ucd=]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=]
_RAJ2000	_DEJ2000	Name	n_Name	f_Name	IRAS	f_IRAS	RAJ2000	DEJ2000	GLON	GLAT	HR	l_F12um	F12um	u_F12um	e_F12um	S12um	M12um	C12um	F25um	u_F25um	e_F25um	S25um	M25um	C25um	F60um	u_F60um	e_F60um	S60um	M60um	C60um	F100um	u_F100um	e_F100um	S100um	M100um	C100um	cz	Dist	f_Dist	LogIR1	u_LogIR1	LogIR2	u_LogIR2	Rank	OName	Simbad	NED
065.676250	-40.600833	NGC 1572         	 	2	F04210-4042	 	04 22 42.3	-40 36 03	244.38	-44.84	 	 	   0.23	 	22	U	T	 	   0.80	 	 17	U	T	 	    8.03	 	 32	U	T	 	   16.81	 	 112	U	T	 	 6111	 81.50	 	11.17	 	11.24	 	130	AM0421-404                         	Simbad	NED
067.706250	+64.850278	NGC 1569         	 	2	F04260+6444	 	04 30 49.5	+64 51 01	143.68	 11.24	 	 	   1.24	 	26	R	I	 	   9.03	 	 25	R	I	 	   54.36	 	 47	R	I	 	   55.29	 	 330	M	I	 	  -97	  4.60	S	 9.38	 	 9.49	 	593	ARP210;VIIZw016                    	Simbad	NED
067.636667	+38.929722	IRAS 04271+3849  	 	2	04271+3849 	 	04 30 32.8	+38 55 47	162.69	 -6.48	 	 	   0.30	 	22	R	I	 	   0.74	 	 46	U	T	 	    6.53	 	 61	U	T	 	   10.36	:	 725	U	P	c	 5640	 74.65	 	10.93	:	11.06	:	177	                                   	Simbad	NED
068.207917	+29.500000	IRAS F04296+2923 	 	2	F04296+2923	 	04 32 49.9	+29 30 00	170.09	-12.47	 	 	   1.39	 	36	M	I	 	   5.90	 	 69	U	T	 	   42.13	 	122	U	T	 	   48.27	 	3297	U	T	 	 2047	 28.32	 	10.85	 	10.97	 	205	                                   	Simbad	NED
068.500417	 -8.579444	NGC 1614         	 	1	F04315-0840	 	04 34 00.1	-08 34 46	204.45	-34.38	 	 	   1.38	 	23	U	T	 	   7.50	 	 25	U	T	 	   32.12	 	 83	U	T	 	   34.32	 	 430	U	T	 	 4746	 62.61	 	11.43	 	11.60	 	 55	ARP186;MRK0617;IIZw015             	Simbad	NED
068.891250	+19.171111	UGC 03094        	 	2	F04326+1904	 	04 35 33.9	+19 10 16	178.70	-18.66	 	 	   0.53	 	27	R	I	 	   0.84	 	 85	U	T	 	    6.35	 	 43	U	T	 	   12.85	 	 295	U	T	 	 7408	 97.06	 	11.21	 	11.35	 	 97	                                   	Simbad	NED
069.777083	-24.183889	ESO 485-G003     	*	1	F04370-2416	 	04 39 06.5	-24 11 02	223.13	-39.05	 	 	   0.34	 	25	U	T	 	   0.69	 	 24	U	T	 	    6.07	 	 29	U	T	 	   11.34	 	  86	U	T	 	 4550	 60.51	 	10.75	 	10.87	 	242	AM0437-241NED01                    	Simbad	NED
070.373333	 -2.857222	NGC 1637         	 	1	F04389-0257	 	04 41 29.6	-02 51 26	199.56	-30.01	 	 	   0.65	 	22	R	I	 	   1.47	 	 22	R	I	 	    6.61	 	 29	R	I	 	   15.71	 	 156	M	I	 	  717	 10.16	 	 9.30	 	 9.46	 	596	                                   	Simbad	NED
071.427917	-59.246667	NGC 1672         	 	2	F04449-5920	 	04 45 42.7	-59 14 48	268.78	-38.99	 	 	   2.47	 	18	R	I	 	   5.25	 	 33	R	I	 	   41.21	 	 37	R	I	 	   77.92	 	 136	M	I	 	 1350	 16.82	 	10.46	 	10.59	 	331	VV826;AM0444-592                   	Simbad	NED
071.709583	-48.558611	ESO 203-IG001    	 	2	F04454-4838	 	04 46 50.3	-48 33 31	254.99	-40.28	 	<	   0.05	 	  	 	 	 	   0.45	 	 20	U	T	 	    5.86	 	 37	U	T	 	    5.38	 	  69	U	T	 	15866	208.86	 	11.77	 	11.79	:	 35	AM0445-483                         	Simbad	NED
072.157083	 -6.320000	NGC 1667         	 	1	F04461-0624	 	04 48 37.7	-06 19 12	204.06	-30.12	 	 	   0.63	 	29	R	I	 	   0.71	 	 38	U	T	 	    6.27	 	 45	M	I	 	   14.92	 	 146	U	T	 	 4571	 60.51	 	10.83	 	10.96	 	211	                                   	Simbad	NED
074.343333	+78.191111	IC 0391          	 	2	F04497+7806	 	04 57 22.4	+78 11 28	134.04	 21.06	 	 	   0.23	 	29	U	T	 	   0.74	 	 23	M	I	 	    5.91	 	 33	M	I	 	    9.74	 	 106	U	T	 	 1556	 24.79	 	 9.93	 	10.05	 	517	                                   	Simbad	NED
073.028333	-32.990000	MCG-05-12-006    	 	2	F04502-3304	 	04 52 06.8	-32 59 24	234.96	-38.29	 	 	   0.22	 	22	U	T	 	   1.21	 	 24	U	T	 	    8.15	 	 33	U	T	 	    9.85	 	  79	U	T	 	 5622	 75.05	 	10.99	 	11.12	 	155	                                   	Simbad	NED
073.655000	 +3.266667	NGC 1691         	 	2	F04519+0311	 	04 54 37.2	+03 16 00	195.55	-24.05	 	 	   0.36	 	21	R	I	 	   1.05	 	 24	R	I	 	    6.78	 	 47	U	T	 	   10.53	 	  99	U	T	 	 4581	 60.65	 	10.76	 	10.91	 	227	MRK1088                            	Simbad	NED
074.551667	 -7.780556	IC 0398          	 	2	F04557-0751	 	04 58 12.4	-07 46 50	206.80	-28.68	 	 	   0.21	 	17	U	T	 	   0.55	 	 46	U	T	 	    5.63	 	 53	U	T	 	   11.03	 	 180	U	T	 	 3773	 50.29	 	10.57	 	10.66	 	309	                                   	Simbad	NED
074.832917	 -7.859444	NGC 1720         	 	2	F04569-0756	 	04 59 19.9	-07 51 34	207.02	-28.46	 	 	   0.31	 	27	U	T	 	   0.77	 	 35	U	T	 	    7.00	 	 55	U	T	 	   13.30	 	 181	U	T	 	 4186	 55.68	 	10.74	 	10.85	 	246	                                   	Simbad	NED
076.307083	-37.979444	NGC 1792         	 	2	F05035-3802	 	05 05 13.7	-37 58 46	241.69	-36.45	 	 	   3.18	 	19	R	I	 	   4.31	 	 20	R	I	 	   35.16	 	 33	R	I	 	   86.15	 	 110	M	I	 	 1211	 12.54	S	10.22	 	10.33	 	416	AM0503-380                         	Simbad	NED
076.934167	 -8.019167	NGC 1797         	 	2	F05053-0805	 	05 07 44.2	-08 01 09	208.23	-26.67	 	 	   0.33	 	28	U	T	 	   1.35	 	 34	U	T	 	    9.56	 	 43	U	T	 	   12.76	 	 129	U	T	 	 4441	 59.13	 	10.86	 	11.00	 	203	MRK1093                            	Simbad	NED
077.089167	+17.367778	CGCG 468-002     	 	N	F05054+1718	*	05 08 21.4	+17 22 04	185.04	-13.48	U	 	   0.26	 	24	U	T	 	   1.16	 	 45	U	T	 	    9.66	 	 75	U	T	 	   14.59	 	 262	M	I	 	 5033	 66.78	 	10.99	 	11.10	 	160	                                   	Simbad	NED
076.926250	-37.513333	NGC 1808         	 	2	F05059-3734	 	05 07 42.3	-37 30 48	241.21	-35.90	 	 	   5.40	 	21	R	I	 	  17.00	 	 34	M	I	 	  105.55	 	 45	M	I	 	  141.76	 	 223	U	T	 	 1000	 12.61	 	10.55	 	10.71	 	293	AM0505-373                         	Simbad	NED
079.162083	+79.669722	VII Zw 031       	 	2	F05081+7936	 	05 16 38.9	+79 40 11	133.18	 22.61	 	 	   0.20	 	26	U	T	 	   0.62	 	 22	U	T	 	    5.51	 	 31	U	T	 	   10.09	 	 126	U	T	 	16260	214.83	 	11.84	 	11.94	 	 23	                                   	Simbad	NED
077.856250	+24.755556	IRAS 05083+2441  	 	2	05083+2441 	 	05 11 25.5	+24 45 20	179.29	 -8.67	 	 	   0.19	 	35	U	T	 	   0.85	 	 51	U	T	 	    6.92	 	 89	M	I	 	    8.36	:	 470	U	P	c	 6915	 91.29	 	11.10	:	11.21	:	136	                                   	Simbad	NED
077.940417	 +5.200556	NGC 1819         	 	N	F05091+0508	*	05 11 45.7	+05 12 02	196.17	-19.40	 	 	   0.36	 	20	R	I	 	   0.74	 	 26	U	T	 	    6.85	 	 57	U	T	 	   12.05	 	 186	U	T	 	 4470	 59.48	 	10.77	 	10.90	 	235	MRK1194                            	Simbad	NED
078.012917	-15.688056	NGC 1832         	 	2	F05097-1544	 	05 12 03.1	-15 41 17	216.61	-28.90	 	 	   0.58	 	20	R	I	 	   0.86	 	 22	R	I	 	    7.35	 	 32	R	I	 	   17.77	 	 130	U	T	 	 1937	 26.24	 	10.18	 	10.28	 	433	                                   	Simbad	NED
079.228750	+51.532222	IRAS 05129+5128  	 	2	05129+5128 	 	05 16 54.9	+51 31 56	158.04	  7.76	 	 	   0.21	 	33	U	T	 	   1.05	 	 36	R	Z	 	    6.56	 	 50	U	T	 	    7.34	 	 299	U	T	 	 8224	109.16	 	11.23	 	11.36	 	 95	                                   	Simbad	NED
079.918750	 +5.645000	IRAS F05170+0535 	 	N	F05170+0535	*	05 19 40.5	+05 38 42	196.84	-17.48	 	 	   0.58	 	33	U	T	 	   4.50	 	 44	U	T	 	   14.45	 	 48	U	T	 	    9.50	 	 498	U	T	 	 9005	118.44	 	11.70	 	11.81	 	 32	                                   	Simbad	NED
080.276250	-10.245833	IRAS F05187-1017 	 	2	F05187-1017	 	05 21 06.3	-10 14 45	212.05	-24.67	 	<	   0.08	 	  	 	 	 	   0.19	 	 20	U	T	 	    5.39	 	 34	U	T	 	    8.04	 	  64	U	T	 	 8474	111.81	 	11.19	 	11.23	:	131	                                   	Simbad	NED
080.255833	-25.362778	IRAS F05189-2524 	 	1	F05189-2524	 	05 21 01.4	-25 21 46	227.89	-30.29	 	 	   0.74	 	16	U	T	 	   3.47	 	 18	U	T	 	   13.25	 	 29	U	T	 	   11.84	 	  77	U	T	 	12816	168.64	 	11.93	 	12.11	 	 14	                                   	Simbad	NED
081.317917	+19.179444	IRAS 05223+1908  	 	2	05223+1908 	 	05 25 16.3	+19 10 46	185.78	 -9.14	 	 	   0.97	 	37	U	T	 	   2.06	 	 83	U	T	 	    5.37	:	194	U	P	c	   10.69	:	1384	U	P	c	 8867	116.77	 	11.30	:	11.59	:	 56	                                   	Simbad	NED
080.893750	-69.756111	LMC              	 	2	           	R	05 23 34.5	-69 45 22	280.47	-32.89	 	 	2781.90	 	  	R	R	 	7824.20	 	   	R	R	 	82917.00	 	   	R	R	 	84686.00	 	    	R	R	 	  278	  0.05	P	 8.76	 	 8.83	 	620	                                   	Simbad	NED
083.340833	-21.945556	NGC 1964         	 	2	F05312-2158	 	05 33 21.8	-21 56 44	225.27	-26.50	 	 	   0.69	 	22	R	I	 	   1.02	 	 26	R	I	 	    9.17	 	 43	R	I	 	   23.48	 	 110	M	I	 	 1663	 18.65	S	 9.99	 	10.09	 	506	                                   	Simbad	NED
085.516250	+69.375833	NGC 1961         	 	2	F05365+6921	 	05 42 03.9	+69 22 33	143.82	 19.47	 	 	   0.90	 	27	R	I	 	   0.99	 	 16	R	I	 	    7.17	 	 41	R	I	 	   23.37	 	 209	M	I	 	 3975	 55.27	 	10.93	 	11.02	 	196	ARP184                             	Simbad	NED
085.180417	+49.694722	MCG+08-11-002    	 	2	05368+4940 	 	05 40 43.3	+49 41 41	161.67	  9.96	 	 	   0.52	 	29	R	I	 	   1.08	 	 48	M	I	 	   14.03	 	 36	U	T	 	   24.82	 	 183	U	T	 	 5743	 77.22	 	11.32	 	11.41	 	 89	                                   	Simbad	NED
085.772917	 +0.619444	IRAS F05405+0035 	 	N	F05405+0035	*	05 43 05.5	+00 37 10	204.39	-14.87	 	 	   0.33	:	53	U	P	n	   1.04	:	 37	U	P	n	    7.03	:	 78	U	P	n	   15.96	:	2467	U	P	n	 4290	 57.68	 	10.83	:	10.93	:	222	                                   	Simbad	NED
086.452500	+58.700556	UGC 03351        	 	2	F05414+5840	 	05 45 48.6	+58 42 02	153.99	 15.01	 	 	   0.55	 	26	R	Z	 	   0.86	 	 36	U	T	 	   14.26	 	 47	U	T	 	   29.46	 	 120	U	T	 	 4445	 60.87	 	11.15	 	11.22	 	134	                                   	Simbad	NED
086.794583	+17.562222	IRAS 05442+1732  	 	2	05442+1732 	 	05 47 10.7	+17 33 44	189.93	 -5.58	 	 	   0.50	 	34	R	Z	 	   1.70	 	 43	U	T	 	   10.02	 	 41	U	T	 	   12.73	 	 249	U	T	 	 5613	 74.95	 	11.08	 	11.25	 	127	                                   	Simbad	NED
086.699583	-16.782778	NGC 2076         	 	2	F05445-1648	 	05 46 47.9	-16 46 58	221.31	-21.64	 	 	   0.71	 	26	R	I	 	   0.76	 	 32	R	I	 	    7.03	 	 36	R	I	 	   20.46	 	  79	U	T	 	 2156	 29.48	 	10.33	 	10.41	 	389	                                   	Simbad	NED
088.925000	 +3.391667	UGCA 116         	 	N	F05530+0323	*	05 55 42.0	+03 23 30	203.42	-10.78	 	 	   0.45	 	26	U	T	 	   1.91	 	 32	U	T	 	    6.57	 	166	U	T	 	    5.27	 	 840	U	T	 	  789	 11.64	 	 9.28	 	 9.47	 	595	IIZw040                            	Simbad	NED
090.280000	-23.673611	NGC 2139         	 	2	F05590-2340	 	06 01 07.2	-23 40 25	229.53	-21.14	 	 	   0.28	 	22	U	T	 	   0.86	 	 18	R	I	 	    7.05	 	 35	R	I	 	   14.05	 	 121	U	T	 	 1843	 25.11	 	10.06	 	10.16	 	479	AM0559-234                         	Simbad	NED
093.612500	+80.450000	UGC 03410        	 	2	F06052+8027	 	06 14 27.0	+80 27 00	133.36	 25.21	S	 	   0.71	:	25	R	I	b	   0.92	:	 19	R	I	b	    9.87	:	 33	R	I	b	   22.98	:	 161	M	I	b	 3887	 54.78	 	10.94	:	11.04	:	188	KPG108B                            	Simbad	NED
091.872917	-61.807778	ESO 121-G006     	 	2	F06070-6147	 	06 07 29.5	-61 48 28	270.97	-28.82	 	 	   0.58	 	13	R	I	 	   0.68	 	 11	R	I	 	    6.11	 	 18	R	I	 	   15.20	 	  70	U	T	 	 1211	 14.52	 	 9.59	 	 9.70	 	582	                                   	Simbad	NED
092.437917	-21.672778	IRAS F06076-2139 	 	N	F06076-2139	*	06 09 45.1	-21 40 22	228.35	-18.54	 	 	   0.06	 	23	U	T	 	   0.63	 	 16	U	T	 	    6.43	 	 54	U	T	 	    8.47	 	 180	U	T	 	11226	148.80	 	11.51	 	11.59	 	 58	                                   	Simbad	NED
094.665833	+78.356944	NGC 2146         	 	2	F06107+7822	 	06 18 39.8	+78 21 25	135.65	 24.90	*	 	   6.83	 	22	M	I	 	  18.81	 	 30	M	I	 	  146.69	 	 63	M	I	 	  194.05	 	 240	U	T	 	  885	 16.47	 	10.93	 	11.07	 	171	KPG110A                            	Simbad	NED
094.095417	-21.372222	IC 2163          	 	N	F06142-2121	*	06 16 22.9	-21 22 20	228.69	-17.00	*	 	   1.37	 	23	R	I	 	   2.45	 	 24	R	I	 	   17.55	 	 26	R	I	 	   40.85	 	 140	M	I	 	 2688	 36.93	 	10.84	 	10.96	 	212	                                   	Simbad	NED
094.761250	 +3.164722	IRAS 06164+0311  	 	2	06164+0311 	 	06 19 02.7	+03 09 53	206.40	 -5.74	 	 	   1.14	 	26	R	Z	 	   0.85	 	 30	U	T	 	    8.34	 	 50	U	T	 	   24.88	 	 460	U	T	 	 2902	 40.17	 	10.68	 	10.79	 	264	                                   	Simbad	NED
095.237083	 -8.495000	UGCA 127         	 	N	F06185-0828	*	06 20 56.9	-08 29 42	217.11	-10.61	 	 	   1.41	 	19	R	I	 	   1.62	 	 24	R	I	 	   17.61	 	 71	R	I	 	   39.38	 	 532	M	I	 	  734	 10.19	 	 9.71	 	 9.82	 	562	                                   	Simbad	NED
095.272500	-20.048056	UGCA 128         	 	N	F06189-2001	*	06 21 05.4	-20 02 53	227.88	-15.47	 	 	   0.54	 	19	R	I	 	   0.93	 	 22	R	I	 	    5.38	 	 39	R	I	 	   11.90	 	 123	U	T	 	 1981	 27.28	 	10.05	 	10.21	 	461	                                   	Simbad	NED
095.066667	-57.578611	NGC 2221         	 	N	F06194-5733	 	06 20 16.0	-57 34 43	266.44	-26.72	S	 	   0.30	:	20	R	I	g	   0.56	:	 17	U	T	g	    6.41	:	 63	R	Z	g	   13.94	:	 125	R	Z	b	 2532	 33.83	 	10.31	:	10.39	:	391	AM0619-573NED01                    	Simbad	NED
091.402083	-86.631389	ESO 5-G004       	 	2	F06218-8636	 	06 05 36.5	-86 37 53	299.20	-27.75	 	 	   0.61	 	11	U	T	 	   0.81	 	 15	M	I	 	    7.48	 	 25	U	T	 	   19.25	 	  93	U	T	 	 1809	 22.36	 	10.07	 	10.16	 	480	                                   	Simbad	NED
096.837917	-47.177222	ESO 255-IG007    	 	2	F06259-4708	 	06 27 21.1	-47 10 38	255.47	-23.45	U	 	   0.32	 	13	U	T	 	   1.42	 	 13	U	T	 	    9.05	 	 24	U	T	 	   11.85	 	  79	U	T	 	11630	155.32	 	11.69	 	11.84	 	 31	AM0626-470                         	Simbad	NED
097.942917	-17.620833	ESO 557-G002     	 	N	F06295-1735	*	06 31 46.3	-17 37 15	226.67	-12.16	U	 	   0.17	 	18	R	I	 	   0.86	 	 31	R	I	 	    7.42	 	 28	R	I	 	   10.50	 	 189	M	I	 	 6339	 85.61	 	11.09	 	11.19	 	140	                                   	Simbad	NED
101.208333	-27.639722	NGC 2280         	 	2	F06428-2735	 	06 44 50.0	-27 38 23	237.31	-13.55	 	 	   0.68	 	33	R	I	 	   0.85	 	 17	R	I	 	    7.11	 	 42	R	I	 	   18.78	 	 140	M	I	 	 1906	 21.54	S	10.02	 	10.13	 	492	AM0642-273                         	Simbad	NED
102.532500	+60.845833	NGC 2273         	 	2	F06456+6054	 	06 50 07.8	+60 50 45	154.97	 23.31	 	 	   0.44	 	31	U	T	 	   1.36	 	 22	U	T	 	    6.41	 	 46	U	T	 	    9.55	 	 136	U	T	 	 1832	 28.16	 	10.05	 	10.25	 	446	MRK0620                            	Simbad	NED
102.546667	-11.253889	IRAS 06478-1111  	 	2	06478-1111 	 	06 50 11.2	-11 15 14	222.84	 -5.38	 	 	   0.41	 	49	U	T	 	   0.66	 	 23	U	T	 	    5.96	 	 82	U	T	 	    8.34	:	1534	U	P	n	 2602	 36.36	 	10.24	:	10.39	:	390	                                   	Simbad	NED
104.391667	+46.402778	UGC 3608         	 	2	F06538+4628	 	06 57 34.0	+46 24 10	170.23	 20.28	 	 	   0.41	 	27	R	I	 	   1.20	 	 30	U	T	 	    8.05	 	 37	U	T	 	   11.33	 	 115	U	T	 	 6538	 88.51	 	11.15	 	11.30	 	113	                                   	Simbad	NED
104.917917	-63.298056	IRAS F06592-6313 	 	2	F06592-6313	 	06 59 40.3	-63 17 53	273.70	-23.14	 	 	   0.14	 	16	U	T	 	   0.78	 	 15	U	T	 	    5.74	 	 23	U	T	 	    7.52	 	 101	U	T	 	 6882	 94.76	 	11.05	 	11.17	 	144	                                   	Simbad	NED
108.552083	+84.382778	NGC 2268         	 	2	F07007+8427	 	07 14 12.5	+84 22 58	129.24	 27.54	 	 	   0.69	 	27	R	I	 	   0.72	 	 20	R	I	 	    5.64	 	 34	M	I	 	   14.48	 	 110	U	T	 	 2222	 30.24	S	10.21	 	10.34	 	412	                                   	Simbad	NED
105.864583	-60.268056	AM 0702-601      	 	N	F07027-6011	 	07 03 27.5	-60 16 05	270.66	-21.89	R	 	   0.43	 	13	R	I	 	   1.37	 	 23	R	I	 	    6.70	 	 23	R	I	 	    9.26	 	 125	M	I	 	 9390	127.33	 	11.39	 	11.58	 	 63	                                   	Simbad	NED
107.086667	+18.779444	NGC 2339         	 	2	F07054+1851	 	07 08 20.8	+18 46 46	197.84	 12.06	 	 	   0.59	 	40	U	T	 	   2.40	 	 38	M	I	 	   17.60	 	 48	U	T	 	   31.82	 	 146	U	T	 	 2206	 32.10	 	10.65	 	10.76	 	274	                                   	Simbad	NED
107.331667	+20.636667	NGC 2342         	 	2	07063+2043 	 	07 09 19.6	+20 38 12	196.20	 13.04	S	 	   0.46	:	25	U	T	g	   1.64	:	 44	R	Z	g	    7.73	:	 37	U	P	g	   24.10	:	  78	R	I	b	 5276	 72.21	 	11.18	:	11.25	:	126	                                   	Simbad	NED
107.445833	-27.569444	ESO 491-G020/021 	*	2	07077-2729 	 	07 09 47.0	-27 34 10	239.62	 -8.51	R	 	   0.91	 	36	R	I	 	   2.70	 	 18	M	I	 	   15.23	 	 52	U	T	 	   22.85	 	 169	U	T	 	 2961	 41.10	 	10.76	 	10.93	 	220	AM0707-273                         	Simbad	NED
107.919583	-26.705278	ESO 492-G002     	 	2	07096-2637 	 	07 11 40.7	-26 42 19	239.03	 -7.75	 	 	   0.41	:	21	R	I	g	   0.79	:	 21	U	T	g	    7.94	:	 36	U	P	g	   14.88	:	 397	U	P	g	 2611	 36.22	 	10.42	:	10.53	:	350	AM0709-263                         	Simbad	NED
111.824167	+85.754444	NGC 2276         	 	2	F07104+8550	 	07 27 17.8	+85 45 16	127.67	 27.71	S	 	   1.07	 	23	R	I	 	   1.63	 	 26	R	I	 	   14.29	 	 58	R	I	 	   28.97	 	 133	U	T	 	 2380	 35.83	 	10.68	 	10.81	 	257	ARP025;VIIZw134;KPG127A            	Simbad	NED
108.299583	+12.266111	NGC 2350         	 	2	F07104+1221	 	07 13 11.9	+12 15 58	204.35	 10.33	 	 	   0.25	 	32	U	T	 	   0.96	 	 41	U	T	 	    6.31	 	 82	U	T	 	    8.45	 	 451	U	T	 	 1910	 28.04	 	10.03	 	10.17	 	476	                                   	Simbad	NED
109.157083	-62.343056	NGC 2369         	 	2	F07160-6215	 	07 16 37.7	-62 20 35	273.31	-21.01	 	 	   0.74	 	27	U	T	 	   2.20	 	 18	U	T	 	   20.35	 	 32	U	T	 	   38.31	 	 146	U	T	 	 3237	 44.02	 	11.00	 	11.10	 	162	AM0716-621                         	Simbad	NED
110.544583	-29.236944	ESO 428-G023     	 	2	07202-2908 	 	07 22 10.7	-29 14 13	242.36	 -6.83	 	 	   0.45	 	21	R	I	 	   1.36	 	 21	M	I	 	    9.94	 	 62	U	T	 	   17.69	 	 873	U	T	 	 3026	 42.07	 	10.63	 	10.76	 	275	                                   	Simbad	NED
110.929583	+33.442222	UGC 03829        	 	2	F07204+3332	 	07 23 43.1	+33 26 32	185.05	 20.83	 	 	   0.42	 	26	R	I	 	   1.73	 	 52	R	I	 	    6.95	 	 43	U	T	 	    8.91	 	 165	U	T	 	 4031	 56.37	 	10.67	 	10.88	 	239	MRK1199                            	Simbad	NED
110.331250	-69.000556	NGC 2397         	 	2	F07214-6854	 	07 21 19.5	-69 00 02	280.30	-22.60	 	 	   0.73	 	11	R	I	 	   1.08	 	 13	R	I	 	    8.48	 	 33	M	I	 	   19.18	 	 206	U	T	 	 1355	 16.08	 	 9.79	 	 9.92	 	544	AM0721-685                         	Simbad	NED
110.909583	-30.052222	ESO 428-G028     	 	2	07216-2957 	 	07 23 38.3	-30 03 08	243.24	 -6.92	 	 	   0.45	 	22	R	I	 	   0.78	 	 18	R	I	 	    6.10	 	 26	M	I	 	   14.82	 	 262	U	T	 	 2258	 31.08	 	10.24	 	10.35	 	408	                                   	Simbad	NED
